State,Code,Coal,Natural Gas,Distillate Fuel Oil,HGL,Jet Fuel,Motor Gasoline,Residual Fuel Oil,Petrolium Other,Total Petrolium,Nuclear Fuel,Wood and Waste,Primary Energy Total,Electric Power Sector,Electric Retail Sales,2018 Population,Consumption Rank,"Total Energy Consumed per Capita, million Btu",Production Share,"Production, Rank","Consumption, Million Btu","Consumption, Rank","Expenditures, Dollars","Expenditures, Rank"
Ohio,OH,2.16,5.84,21.83,24.89,15.82,21.5,11.03,19.46,21.24,0.72,3.71,9.96,2.03,29.24,"11,676,341",23,322,3.5,10,322,23,3792,32
Oklahoma,OK,1.84,3.71,20.7,17.75,15.64,20.76,10.96,34.32,20.72,0,2.8,9.88,2.44,23.91,"3,940,235",10,433,5.1,4,433,10,4331,18
Oregon,OR,2.43,4.77,23.09,21.03,16.13,26.4,11.25,25.46,24.37,0,4.91,14.88,2.35,25.93,"4,181,886",39,242,0.5,33,242,39,3388,43
Pennsylvania,PA,2.63,6.55,22,26.27,15.86,23.52,10.62,24.14,22.5,0.73,3.67,9.29,1.81,29.7,"12,800,922",26,310,9.4,2,310,26,3787,33
Rhode Island,RI,0,8.02,20.98,31.89,16.27,23.22,11.82,18.95,22.15,0,3.59,14.38,4.21,53.05,"1,058,287",51,187,0,49,187,51,3686,35
South Carolina,SC,3.34,5.6,20.57,25.56,15.5,20.48,10.21,20.18,20.15,0.65,2.45,8.27,1.94,28.31,"5,084,156",21,329,0.7,25,329,21,4003,22
South Dakota,SD,1.91,5.05,21.6,15.67,15.64,22.08,10.96,26.89,21.56,0,8.34,13.04,2.19,29.21,"878,698",9,452,0.3,40,452,9,4888,7
Tennessee,TN,2.31,5.72,21.35,20.55,15.64,21.06,11.22,23.76,20.74,0.68,3.1,10.21,1.53,28.15,"6,771,631",20,333,0.6,30,333,20,4001,23
Texas,TX,1.78,3.89,20.59,11.81,15.61,20.44,8.1,20.31,16.69,0.68,2.25,10.54,2.35,25.16,"28,628,666",6,498,21.3,1,498,6,5345,5
Utah,UT,2.03,6.12,22.99,20.76,16.08,24.08,9.91,26.13,22.66,0,8.55,10.88,2.26,24.16,"3,153,550",35,265,0.9,21,265,35,3261,46
Vermont,VT,0,8.16,21.09,28.45,16.27,23.39,13.32,20.16,22.95,0,5.28,16.56,9.43,44.35,"624,358",43,223,0,47,223,43,4555,14
Virginia,VA,3.03,5.69,20.94,25.6,15.53,21.13,6.92,25.56,20.89,0.63,3.13,10.73,2.71,27.79,"8,501,286",31,283,0.9,20,283,31,3601,37
Washington,WA,2.42,6.59,23.97,22.29,15.74,26.54,14.93,19.31,22.76,0.75,4.01,15.21,2.06,23.63,"7,523,869",32,276,1.1,17,276,32,3498,40
West Virginia,WV,2.2,5.86,21.52,27.88,15.5,22.81,10.19,25.98,22.69,0,8.03,7.24,2.15,25.55,"1,804,291",8,462,5,5,462,8,4860,8
Wisconsin,WI,2.37,5.51,21.86,16.21,16.14,22.42,10.95,21.17,21.64,0.68,3.99,10.01,2.22,31.02,"5,807,406",22,325,0.3,36,325,22,3909,28
Wyoming,WY,1.73,4.76,21.22,21.35,16.1,22.56,0,25.58,21.7,0,11.69,6.33,1.7,23.87,"577,601",1,967,8.1,3,967,1,8651,1
